"filename", "language", "JSON", "Markdown", "JavaScript", "Pug", "CSS", "comment", "blank", "total"
"/home/turbodami/Code/deploi/client/src/index.js", "JavaScript", 0, 0, 9, 0, 0, 0, 2, 11
"/home/turbodami/Code/deploi/client/src/reducers/alert.js", "JavaScript", 0, 0, 13, 0, 0, 0, 3, 16
"/home/turbodami/Code/deploi/client/src/reducers/auth.js", "JavaScript", 0, 0, 52, 0, 0, 0, 7, 59
"/home/turbodami/Code/deploi/client/src/reducers/index.js", "JavaScript", 0, 0, 9, 0, 0, 0, 2, 11
"/home/turbodami/Code/deploi/client/src/reducers/site.js", "JavaScript", 0, 0, 37, 0, 0, 0, 4, 41
"/home/turbodami/Code/deploi/client/src/setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 4, 1, 6
"/home/turbodami/Code/deploi/client/src/store.js", "JavaScript", 0, 0, 12, 0, 0, 0, 5, 17
"/home/turbodami/Code/deploi/client/src/utils/setAuthToken.js", "JavaScript", 0, 0, 9, 0, 0, 0, 3, 12
"/home/turbodami/Code/deploi/config/db.js", "JavaScript", 0, 0, 18, 0, 0, 1, 5, 24
"/home/turbodami/Code/deploi/config/default.json", "JSON", 4, 0, 0, 0, 0, 0, 1, 5
"/home/turbodami/Code/deploi/controllers/spacesController.js", "JavaScript", 0, 0, 120, 0, 0, 16, 31, 167
"/home/turbodami/Code/deploi/controllers/userDbController.js", "JavaScript", 0, 0, 23, 0, 0, 0, 2, 25
"/home/turbodami/Code/deploi/middleware/auth.js", "JavaScript", 0, 0, 15, 0, 0, 3, 5, 23
"/home/turbodami/Code/deploi/models/Site.js", "JavaScript", 0, 0, 118, 0, 0, 0, 5, 123
"/home/turbodami/Code/deploi/models/User.js", "JavaScript", 0, 0, 32, 0, 0, 0, 3, 35
"/home/turbodami/Code/deploi/package-lock.json", "JSON", 3561, 0, 0, 0, 0, 0, 1, 3562
"/home/turbodami/Code/deploi/package.json", "JSON", 43, 0, 0, 0, 0, 0, 1, 44
"/home/turbodami/Code/deploi/renderer/config/db.js", "JavaScript", 0, 0, 18, 0, 0, 1, 5, 24
"/home/turbodami/Code/deploi/renderer/config/default.json", "JSON", 4, 0, 0, 0, 0, 0, 1, 5
"/home/turbodami/Code/deploi/renderer/models/Site.js", "JavaScript", 0, 0, 120, 0, 0, 0, 5, 125
"/home/turbodami/Code/deploi/renderer/models/User.js", "JavaScript", 0, 0, 17, 0, 0, 4, 3, 24
"/home/turbodami/Code/deploi/renderer/package-lock.json", "JSON", 998, 0, 0, 0, 0, 0, 1, 999
"/home/turbodami/Code/deploi/renderer/package.json", "JSON", 18, 0, 0, 0, 0, 0, 1, 19
"/home/turbodami/Code/deploi/renderer/server.js", "JavaScript", 0, 0, 26, 0, 0, 49, 10, 85
"/home/turbodami/Code/deploi/renderer/views/head.pug", "Pug", 0, 0, 0, 4, 0, 0, 1, 5
"/home/turbodami/Code/deploi/renderer/views/index.pug", "Pug", 0, 0, 0, 2, 0, 0, 2, 4
"/home/turbodami/Code/deploi/renderer/views/layout.pug", "Pug", 0, 0, 0, 83, 0, 0, 2, 85
"/home/turbodami/Code/deploi/routes/api/auth.js", "JavaScript", 0, 0, 69, 0, 0, 8, 15, 92
"/home/turbodami/Code/deploi/routes/api/mailRoute.js", "JavaScript", 0, 0, 195, 0, 0, 0, 14, 209
"/home/turbodami/Code/deploi/routes/api/paymentsRoute.js", "JavaScript", 0, 0, 176, 0, 0, 0, 20, 196
"/home/turbodami/Code/deploi/routes/api/siteDatabaseRoute.js", "JavaScript", 0, 0, 222, 0, 0, 28, 44, 294
"/home/turbodami/Code/deploi/routes/api/siteSpacesRoute.js", "JavaScript", 0, 0, 129, 0, 0, 0, 28, 157
"/home/turbodami/Code/deploi/routes/api/users.js", "JavaScript", 0, 0, 240, 0, 0, 8, 41, 289
"/home/turbodami/Code/deploi/routes/api/webhookRoute.js", "JavaScript", 0, 0, 23, 0, 0, 0, 5, 28
"/home/turbodami/Code/deploi/server.js", "JavaScript", 0, 0, 15, 0, 0, 3, 7, 25
"Total", "-", 19047, 0, 5012, 89, 2509, 159, 748, 27564
